vigencia,ato,ano_ato,item,UF,QAV,AEHC,GNV,GNI,OLEO_LITRO,OLEO_KG,fonte_dou
2026-02-16,4,2026,10,MA,-,"*4,8300",-,-,-,-,DOU 10/02/2026 ed.28 s.1 p.24
2026-02-16,4,2026,11,MG,"5,1154","4,6965","4,8983",-,-,-,DOU 10/02/2026 ed.28 s.1 p.24
2026-02-16,4,2026,12,MS,"4,4294","4,2920","4,5111",-,-,-,DOU 10/02/2026 ed.28 s.1 p.24
2026-02-16,4,2026,13,MT,"6,4170","4,3835","4,0497","3,6700",-,-,DOU 10/02/2026 ed.28 s.1 p.24
2026-02-16,4,2026,14,PA,-,"*4,8263",-,-,-,-,DOU 10/02/2026 ed.28 s.1 p.24
2026-02-16,4,2026,15,PB,"4,1141","4,3679","4,9247",-,"4,9389","4,9389",DOU 10/02/2026 ed.28 s.1 p.24
2026-02-16,4,2026,16,PE,-,"4,9200",-,-,-,-,DOU 10/02/2026 ed.28 s.1 p.24
2026-02-16,4,2026,17,PI,"5,6800","4,6400",-,-,-,-,DOU 10/02/2026 ed.28 s.1 p.24
2026-02-16,4,2026,18,PR,-,"4,3006","4,7805",-,-,-,DOU 10/02/2026 ed.28 s.1 p.24
2026-02-16,4,2026,19,RJ,"2,4456","*4,9300","*4,4000",-,-,-,DOU 10/02/2026 ed.28 s.1 p.24
2026-02-16,4,2026,20,RN,-,"4,4500","5,0400",-,-,-,DOU 10/02/2026 ed.28 s.1 p.24
2026-02-16,4,2026,21,RO,-,"5,0870",-,-,"4,0864",-,DOU 10/02/2026 ed.28 s.1 p.24
2026-02-16,4,2026,22,RR,"6,9930","5,1850",-,-,-,-,DOU 10/02/2026 ed.28 s.1 p.24
2026-02-16,4,2026,23,RS,-,"4,7831","4,8831",-,-,-,DOU 10/02/2026 ed.28 s.1 p.24
2026-02-16,4,2026,24,SC,-,"4,6855","4,9120",-,-,-,DOU 10/02/2026 ed.28 s.1 p.24
2026-02-16,4,2026,25,SE,"4,5760","4,8180","4,6710",-,-,-,DOU 10/02/2026 ed.28 s.1 p.24
2026-02-16,4,2026,26,SP,-,"4,3200",-,-,-,-,DOU 10/02/2026 ed.28 s.1 p.24
2026-02-16,4,2026,27,TO,"6,4500","5,1100",-,-,-,-,DOU 10/02/2026 ed.28 s.1 p.24
